LAMMPS (2 Aug 2023 - Development - patch_2Aug2023-219-g06e2d5d306)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (10.956 10.956 10.629)
  2 by 3 by 1 MPI processor grid
  reading atoms ...
  108 atoms
  read_data CPU = 0.007 seconds
ACE version: 2022.6.27
Recursive evaluator is used
Loading Siviraman_GAP_HfO2_N3_rcut5_maxdeg10_regQR.yace
Total number of basis functions
	O: 20 (r=1) 1166 (r>1)
	Hf: 20 (r=1) 1166 (r>1)
Mapping LAMMPS atom type #1(Hf) -> ACE species type #1
Mapping LAMMPS atom type #2(O) -> ACE species type #0
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7
  ghost atom cutoff = 7
  binsize = 3.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair pace, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.12 | 3.121 | 3.121 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press     
    243000   2060.0801     -1067.5496      28.492629     -1039.057       14524.445    
    244000   2130.8704     -1064.8848      29.471718     -1035.4131      16003.586    
    245000   2233.0296     -1066.7164      30.884665     -1035.8317     -10028.729    
    246000   2039.9286     -1061.5209      28.213916     -1033.307       31668.051    
    247000   1745.6796     -1064.1596      24.144207     -1040.0154      23374.839    
    248000   2229.8579     -1063.3748      30.840798     -1032.534       33475.506    
    249000   1935.4462     -1065.4227      26.768838     -1038.6539      28987.196    
    250000   2221.0723     -1064.9139      30.719286     -1034.1946      6324.197     
    251000   1981.7058     -1061.0816      27.408647     -1033.673       30347.982    
    252000   1848.8018     -1058.1422      25.570474     -1032.5717      18681.252    
    253000   2066.5753     -1062.9728      28.582463     -1034.3904      46334.405    
    254000   2259.7057     -1065.8174      31.253618     -1034.5638      15163.781    
    255000   1972.0041     -1066.8044      27.274464     -1039.5299      47265.126    
    256000   1898.1577     -1065.9171      26.253107     -1039.664       26857.176    
    257000   1917.5849     -1067.1182      26.521802     -1040.5964      21775.78     
    258000   2134.3775     -1064.1178      29.520225     -1034.5976      27289.374    
    259000   2112.9425     -1062.5572      29.22376      -1033.3335      41229.552    
    260000   2234.3353     -1057.9256      30.902724     -1027.0229      31841.152    
    261000   1918.0831     -1065.0371      26.528692     -1038.5084      1809.1438    
    262000   2049.6132     -1060.4963      28.347863     -1032.1484      29603.684    
    263000   1739.6711     -1057.3087      24.061105     -1033.2476      47945.748    
    264000   2011.0875     -1062.9191      27.815021     -1035.1041      9956.2962    
    265000   2356.9458     -1061.0172      32.59853      -1028.4186      44389.004    
    266000   1993.2673     -1064.8737      27.568552     -1037.3051      25413.885    
    267000   2416.7099     -1062.9703      33.425117     -1029.5451      38637.649    
    268000   2132.4825     -1067.2589      29.494015     -1037.7649     -8222.9173    
    269000   2312.7003     -1063.696       31.986577     -1031.7094      35510.928    
    270000   2060.0163     -1065.6202      28.491747     -1037.1285      30213.526    
    271000   2295.8494     -1062.7987      31.753516     -1031.0452      24612.928    
    272000   2108.3082     -1062.9448      29.159664     -1033.7851      18990.145    
    273000   2001.7125     -1063.849       27.685356     -1036.1637      22481.742    
    274000   2199.5705     -1067.9694      30.421897     -1037.5475     -6552.1798    
    275000   2029.2839     -1062.2398      28.066692     -1034.1731      30228.874    
    276000   1935.4614     -1066.2738      26.769048     -1039.5048      32836.838    
    277000   1929.8108     -1062.6141      26.690896     -1035.9232      32155.529    
    278000   1884.5883     -1064.7689      26.065431     -1038.7035      50960.898    
    279000   2289.235      -1061.0002      31.662033     -1029.3381      38389.17     
    280000   1824.1685     -1061.8936      25.229774     -1036.6638      8067.8795    
    281000   1979.9839     -1061.6781      27.384831     -1034.2933      24025.325    
    282000   2073.7464     -1065.3869      28.681646     -1036.7053      11194.251    
    283000   1997.8764     -1065.6411      27.6323       -1038.0088      7566.8343    
    284000   1913.6204     -1062.5296      26.466969     -1036.0626      28834.091    
    285000   1851.3416     -1061.2584      25.605601     -1035.6528      22545.78     
    286000   1887.2818     -1063.1323      26.102684     -1037.0296      13178.687    
    287000   2179.7046     -1058.1259      30.147136     -1027.9788      37027.18     
    288000   1800.0567     -1061.3512      24.896288     -1036.4549      24097.438    
    289000   1942.1921     -1060.4652      26.86214      -1033.6031      53313.88     
    290000   1923.3251     -1063.8214      26.601193     -1037.2202      34510.233    
    291000   2270.1249     -1061.8852      31.397724     -1030.4875      52669.02     
    292000   2055.0983     -1062.3632      28.423726     -1033.9395      27000.717    
    293000   1849.3265     -1061.4         25.577731     -1035.8223      24732.709    
    294000   1748.2332     -1065.8202      24.179526     -1041.6407      32678.692    
    295000   2161.6848     -1063.9137      29.897907     -1034.0158      29631.855    
    296000   1996.9171     -1062.6511      27.619033     -1035.032       31406.951    
    297000   1869.7209     -1062.2813      25.859802     -1036.4215      6380.7021    
    298000   2269.6351     -1064.0051      31.390949     -1032.6141      24848.289    
    299000   1787.5372     -1064.2819      24.723134     -1039.5588      10166.405    
    300000   1873.2378     -1060.0604      25.908444     -1034.1519      35074.199    
    301000   2208.3255     -1068.5822      30.542987     -1038.0392      10435.737    
    302000   2135.9357     -1063.0934      29.541775     -1033.5516      45061.337    
    303000   1968.6109     -1065.6306      27.227534     -1038.403       25693.606    
    304000   1777.3413     -1066.2094      24.582115     -1041.6273      41587.307    
    305000   2111.6259     -1062.3006      29.205551     -1033.0951      8141.4245    
    306000   1928.8429     -1065.3036      26.677509     -1038.6261      4038.7872    
    307000   1992.4918     -1066.136       27.557826     -1038.5782      22885.013    
    308000   2039.9228     -1060.0074      28.213837     -1031.7935      37344.367    
    309000   1886.1302     -1061.226       26.086756     -1035.1392      23377.093    
    310000   1875.2264     -1065.4587      25.935947     -1039.5227      43811.654    
    311000   2053.8177     -1061.7818      28.406015     -1033.3757      27360.533    
    312000   1987.4168     -1063.5234      27.487634     -1036.0358      32766.26     
    313000   1855.6822     -1062.4554      25.665635     -1036.7898      47994.576    
    314000   1800.7948     -1065.9251      24.906497     -1041.0186      28972.585    
    315000   1933.4249     -1065.2412      26.740881     -1038.5004      26146.053    
    316000   2107.5422     -1059.1491      29.149069     -1030           36606.75     
    317000   1857.8922     -1062.5997      25.696202     -1036.9035      37883.398    
    318000   2218.7571     -1065.9446      30.687264     -1035.2574      33424.781    
    319000   2330.7366     -1063.7381      32.236035     -1031.502       57358.513    
    320000   1969.5591     -1064.8343      27.240648     -1037.5937      6148.843     
    321000   1626.6169     -1064.5578      22.497471     -1042.0603     -4967.5721    
    322000   1971.221      -1059.6736      27.263633     -1032.41        43450.54     
