step pe pxx pyy pzz pxy pxz pyz
130 -930.96581694216524738 -6057.7107088733564524 1557.5212503443901824 16860.324529381050525 13016.589874236471587 18509.108580263258773 -16017.030010099531864
131 -925.49021714460127441 9608.920052794735966 36349.215025557758054 24203.507663590298762 4393.7920854614376367 -6543.6598973160926107 -23934.350668632934685
132 -925.24512748395534345 27670.515071605204867 29178.519403979113122 13066.064700570808782 -1880.1199556981957812 -31486.396729116793722 16405.416423727991059
133 -927.15962642727004095 -1283.1673677164421861 -4019.3174001293587025 10741.519227898736062 -1606.033746815830682 1528.5554591272989455 -5637.9913524670964762
134 -925.3236541761045828 2925.8514137782849502 5709.7783879374082971 15484.00716091808863 1459.6852434773420555 20049.424593480423937 -14117.878908013895852
135 -932.60849510652769823 -14301.485865407745223 -9683.7113734477916296 -7316.9119034043460488 -6975.0443635458550489 9770.3518206737426226 -16039.599287472365177
136 -926.89420749981707104 15326.215147550006805 52573.927184738575306 43811.481857150392898 1694.3804026490911383 -9562.6648914166180475 -8962.9880176795941225
137 -920.06748739966030826 26745.781870993916527 50355.177673479454825 60057.377900975727243 -8860.4665117785662005 12881.907583984520898 -14498.507169126029112
138 -928.57031117757230732 1422.1915398620726592 9464.272042628552299 11916.980983494077009 41.030835164271451276 13306.184855167335627 9656.9488712253350968
139 -927.16279466526009401 9549.2205120168509893 22753.370298359903245 20420.541608739575167 7073.4104530237236759 -37123.961515588503971 6612.6561512816597315
140 -926.45222602287287827 5202.070787575259601 -1164.9207758820311938 30821.854565608125995 -342.39047796392583223 -9134.6552076529096666 20179.368737155993585
141 -930.45547521988157769 20107.388606011769298 4560.4813788682840823 20686.158979007941525 -2431.3124573358795715 -1802.7824672644915154 3055.7025739310915924
142 -928.03783087103033722 19114.614111288647109 -9253.3173907512209553 22469.34724848829137 -11601.134394085313033 5410.4647452470699136 19794.04147415850457
143 -930.65191975638435906 43499.996375218383037 -17622.213761196391715 17771.802753903368284 -3901.4900931145821232 3393.5845306131232064 16557.334648324042064
144 -928.40544841434552836 280.66072587838522168 -6129.1353724770469853 13058.192476547608749 -6554.0320249103588139 20768.757209615378088 -10597.76245278580609
145 -932.3476180997844267 -2224.5046967873499852 -30348.649185393758671 -10459.788316405425576 -12974.842645156673825 30649.817250380052428 -14189.507977543207744
146 -934.42307445996186743 -8642.7845024198395549 -26985.335669856413006 -13816.159761841510772 -6838.7479249152029297 26240.377256206360471 -10268.645551001704007
147 -927.57589271732763336 9151.2891080691497336 -8107.5904468767166691 -2906.9058340220067294 12196.168140241261426 10551.69538616232785 -9989.2191307261582551
148 -928.54697467782875719 -24442.858835426093719 -32614.080115415676119 -31964.700620582436386 10629.227258783603247 -14293.914518175934063 -27360.802284578134277
149 -926.51657275455841045 3226.3270562800789776 19904.614724247610866 35801.185853385759401 -13544.469544917572421 -23055.332341840457957 -17733.285226781215897
150 -923.07587242431668528 -1724.8003386196942301 -15662.472792086477057 11825.670233137998366 -27781.898163131525507 855.34459742557839945 -14549.559010367182054
151 -924.24218630423911236 -11175.245449832425948 -2885.195996744803324 1120.0801407518060842 -5225.2250997862547592 -82.928630635503324697 7758.1157563549722909
152 -928.20285491093147812 -35596.785316379508004 -7568.3858562457226071 -7470.2841956721422321 21255.095046820733842 -13046.277455946019472 1406.193478003821383
153 -926.75555618068926833 10309.487195680670993 22108.79453101060426 19329.247171717819583 -154.40801593167338979 -40406.942353010759689 1733.9567729177053934
154 -925.78478168088986422 46633.14847955906589 7502.7874503643588469 12730.750959924660492 4959.824771049861738 3000.3506051128842955 -11840.399418099554168
155 -929.21194280649774555 9892.3666402236995054 42891.497413715223956 35151.900955940946005 5158.2422384367700943 -4455.7781799358035641 -6723.1320294644283422
156 -923.20812001912690903 -19757.687811426698318 21843.885704992662795 10442.84121700841024 -4869.6563261006449466 25144.806505747652409 -16043.400335445641758
157 -918.3276170423680469 2899.722535491519011 14420.958872069511926 -11428.017064171181119 27697.62422541660635 -11287.7821410606266 -49171.490127590441261
158 -918.75447144910128827 44019.573906488796638 66525.399878606112907 32403.859847773357615 -25382.974144013674959 -44080.487265961892263 -14829.542900536129309
159 -923.86344483776599645 -7146.2132760132553813 11285.462721654126653 -1711.8661485038162482 873.5992557924233779 -27310.774653566615598 -3630.5811427065323187
160 -933.52540654691631516 -3821.6887126938422625 -18506.052100350399996 6260.3870190098086823 5421.7518210320804428 -10964.486777804995654 16877.424011106144462
161 -928.04528665448026459 15208.455007157390355 3641.9810379444979844 -8154.8293042578170571 3336.2603037757467064 -3381.5699871157103189 29992.35321598939845
162 -924.09882962014114582 53660.015118064060516 50537.757992621802259 27109.816167393582873 4350.2266998153518216 -3683.1181851345959331 -14048.056645167818715
163 -924.52456482705088092 50585.761671121603285 70739.601538420043653 39869.48462259828375 -11612.755868660544365 -21662.335136345627689 13854.557644466111014
164 -924.35162069926900585 30569.606781141683314 16600.016988345560094 16704.862750404477993 -3800.9873576948116352 -15821.978433231179224 -2623.6392066238954612
165 -931.21385616801967444 3859.3236605380534456 10412.893945023113702 -388.38906773716962562 24055.304843371824973 -14130.333750763309581 -9824.2345306727402203
166 -931.60879640831683446 9403.1668579558827332 24325.541978194458352 -2514.0991058103909381 25562.48647649436316 -6880.2961200573763563 -5885.8413193490086996
167 -932.48100029491104124 -33042.784339572914178 -28232.117755234499782 -31479.693462720151729 -17294.929745395667851 4607.1150025929337062 -34847.205957535530615
168 -927.68309207442416664 -31033.795859630117775 -47682.820979367090331 -6717.419856353591058 -6582.0601579728045181 1390.1144983063759355 -14506.101672210077595
169 -933.9002117306438322 14510.074961356725908 6263.9364534659334822 899.20977878442920428 -9798.1178716391314083 9066.670778087916915 14031.034902744042483
170 -934.28454850535626974 10740.458160448826675 13359.909038048681396 8064.5704871765419739 -22621.661255380877265 12688.800805391103495 -27890.809492704531294
171 -929.5752407291711279 52816.670412964827847 34424.819480845639191 26054.958575984233903 -14864.059823644167409 6789.9478556014282731 -6944.1613927389198579
